country,city,clicks,views
United States of America,Parkersburg,0.0,10
India,Mumbai,0.0,20
United States of America,Riverton,0.0,4
Thailand,Khon Kaen,0.0,6
Philippines,Cebu,0.0,6
China,Shanghai,0.0,4
United States of America,Brookings,0.0,10
United States of America,Tuscaloosa,0.0,6
United States of America,Winter Haven,1.0,26
United States of America,Urbana,0.0,12
United States of America,Waycross,0.0,4
Cambodia,Phnom Penh,0.0,14
United States of America,Slidell,0.0,6
United States of America,Waco,0.0,4
United States of America,Victoria,0.0,8
Indonesia,Bekasi,0.0,4
United Kingdom,Coventry,0.0,4
United States of America,Superior,0.0,6
United States of America,Biloxi,0.0,12
United States of America,Homestead,0.0,4
United States of America,Tyler,0.0,18
Indonesia,Surabaya,0.0,4
Indonesia,Medan,0.0,6
Malaysia,Miri,0.0,4
United States of America,Gulfport,0.0,4
United States of America,Wasilla,0.0,10
South Africa,Pretoria,0.0,8
Mexico,Tepic,0.0,6
Saudi Arabia,Riyadh,0.0,6
United States of America,Terre Haute,0.0,6
Mexico,Tijuana,0.0,4
Mexico,Cuernavaca,0.0,1
Brazil,Ponta Grossa,0.0,7
Vietnam,Ho Chi Minh City,0.0,20
United States of America,Joliet,0.0,8
United States of America,Sioux City,0.0,16
India,Kolkata,0.0,4
Kuwait,Kuwait,0.0,4
United States of America,Carbondale,0.0,4
United States of America,Del Rio,0.0,20
Australia,Ballarat,0.0,6
Japan,Fukuoka,0.0,8
Canada,Cornwall,0.0,4
United States of America,Scottsbluff,0.0,6
Bangladesh,Dhaka,0.0,4
Bermuda,Hamilton,0.0,4
United States of America,Paducah,0.0,4
United States of America,Fairbanks,0.0,14
Russia,Ufa,0.0,12
United States of America,Bryan,0.0,8
Canada,Medicine Hat,0.0,6
United Arab Emirates,Sharjah,0.0,4
India,Pune,0.0,24
Sri Lanka,Colombo,0.0,4
Lebanon,Beirut,0.0,4
United Arab Emirates,Abu Dhabi,0.0,6
United States of America,Walla Walla,0.0,4
United States of America,Council Bluffs,0.0,16
United States of America,Cordova,0.0,10
Japan,Kyoto,0.0,6
South Africa,Durban,0.0,12
Mexico,Mexicali,0.0,4
Pakistan,Islamabad,0.0,16
Mexico,Monterrey,1.0,12
Costa Rica,Alajuela,1.0,1
United States of America,Enid,0.0,6
Canada,Thompson,0.0,4
Canada,North Bay,0.0,4
United States of America,Petoskey,0.0,6
Taiwan,Kaohsiung,0.0,6
Malaysia,Shah Alam,0.0,4
Pakistan,Rawalpindi,0.0,12
Oman,Muscat,0.0,10
United States of America,Texas City,0.0,24
Maldives,Male,0.0,4
United States of America,Zanesville,0.0,4
Uzbekistan,Tashkent,0.0,18
Taiwan,Hsinchu,0.0,12
Germany,Wiesbaden,0.0,12
Denmark,Roskilde,0.0,8
Turkey,Izmir,0.0,8
New Zealand,Greymouth,0.0,6
Romania,Iasi,0.0,6
New Zealand,Dunedin,0.0,6
India,Hapur,0.0,6
Sweden,Kalmar,0.0,6
India,Surat,0.0,6
China,Wuhan,0.0,6
Australia,Newcastle,0.0,6
Norway,Alta,0.0,6
Malaysia,Putrajaya,0.0,6
India,Vijayawada,0.0,6
United States of America,Beaver Falls,0.0,6
Canada,Hinton,0.0,6
Canada,Fort Nelson,0.0,6
United States of America,Willmar,0.0,6
United States of America,Kitty Hawk,0.0,6
Bahrain,Manama,0.0,4
United States of America,Crescent City,0.0,4
Germany,Freiburg,0.0,4
Mongolia,Ulaanbaatar,0.0,4
United States of America,Hobbs,0.0,4
Macedonia,Skopje,0.0,4
Australia,Hamilton,0.0,4
Mauritius,Curepipe,0.0,4
United States of America,Pendleton,0.0,4
United States of America,Pine Bluff,0.0,4
Turkey,Manisa,0.0,4
United States of America,Elko,0.0,4
Japan,Hachioji,0.0,4
United States of America,Miles City,0.0,4
Germany,Karlsruhe,0.0,4
United States of America,Sitka,0.0,4
United States of America,Ponca City,0.0,4
United States of America,Williamsport,0.0,4
India,Salem,0.0,4
United States of America,Ottumwa,0.0,4
India,Bhopal,0.0,4
United States of America,Moab,0.0,4
Canada,Kenora,0.0,4
United States of America,Escanaba,0.0,4
Mexico,Cabo San Lucas,0.0,2
